Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,All Ages,"194,091","2,087,504","197,973","87,714","6,705","310,055",
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,Under 1 year,20,"11,719",105,3,16,138,
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,0-17 years,95,"20,773",325,17,123,526,
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,1-4 years,15,"2,233",75,2,42,130,
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,5-14 years,32,"3,476",106,8,52,182,
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,15-24 years,362,"22,385",455,131,53,735,
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,18-29 years,868,"39,680","1,070",361,100,"1,667",
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,25-34 years,"1,513","46,033","1,664",673,151,"2,641",
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,30-49 years,"8,982","138,236","8,328","4,036",568,"13,763",
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,35-44 years,"3,956","65,059","3,748","1,751",250,"6,173",
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,45-54 years,"10,389","119,436","9,754","4,871",577,"15,744",
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,50-64 years,"31,114","344,843","32,209","15,104","1,590","49,526",
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,55-64 years,"24,772","273,191","26,025","12,079","1,240","39,739",
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,65-74 years,"41,866","413,865","44,018","20,292","1,457","66,808",
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,75-84 years,"51,365","504,433","54,045","23,954","1,480","82,728",
09/30/2020,02/01/2020,09/26/2020,United States,All Sexes,85 years and over,"59,801","625,674","57,978","23,950","1,387","95,037",
09/30/2020,02/01/2020,09/26/2020,United States,Male,All Ages,"104,896","1,089,340","108,473","49,465","3,455","166,745",
09/30/2020,02/01/2020,09/26/2020,United States,Male,Under 1 year,13,"6,487",65,2,8,84,
09/30/2020,02/01/2020,09/26/2020,United States,Male,0-17 years,56,"12,218",181,11,64,290,
09/30/2020,02/01/2020,09/26/2020,United States,Male,1-4 years,7,"1,305",37,1,25,68,
09/30/2020,02/01/2020,09/26/2020,United States,Male,5-14 years,22,"2,062",54,7,23,92,
09/30/2020,02/01/2020,09/26/2020,United States,Male,15-24 years,223,"16,595",283,82,27,448,
09/30/2020,02/01/2020,09/26/2020,United States,Male,18-29 years,565,"29,116",662,223,53,"1,050",
09/30/2020,02/01/2020,09/26/2020,United States,Male,25-34 years,"1,003","32,519","1,033",435,76,"1,668",
09/30/2020,02/01/2020,09/26/2020,United States,Male,30-49 years,"6,140","90,762","5,272","2,773",305,"8,888",
09/30/2020,02/01/2020,09/26/2020,United States,Male,35-44 years,"2,698","42,918","2,383","1,199",133,"3,992",
09/30/2020,02/01/2020,09/26/2020,United States,Male,45-54 years,"7,063","75,065","6,101","3,323",342,"10,111",
09/30/2020,02/01/2020,09/26/2020,United States,Male,50-64 years,"20,335","213,137","19,699","9,821",917,"30,937",
09/30/2020,02/01/2020,09/26/2020,United States,Male,55-64 years,"16,067","168,282","15,858","7,779",705,"24,702",
09/30/2020,02/01/2020,09/26/2020,United States,Male,65-74 years,"25,722","240,467","26,462","12,554",813,"40,288",
09/30/2020,02/01/2020,09/26/2020,United States,Male,75-84 years,"28,239","262,137","30,261","13,530",737,"45,589",
09/30/2020,02/01/2020,09/26/2020,United States,Male,85 years and over,"23,839","241,503","25,936","10,553",566,"39,703",
09/30/2020,02/01/2020,09/26/2020,United States,Female,All Ages,"89,191","998,082","89,493","38,245","3,249","143,302",
09/30/2020,02/01/2020,09/26/2020,United States,Female,Under 1 year,7,"5,212",40,1,8,54,
09/30/2020,02/01/2020,09/26/2020,United States,Female,0-17 years,39,"8,534",144,6,59,236,
09/30/2020,02/01/2020,09/26/2020,United States,Female,1-4 years,8,928,38,1,17,62,
09/30/2020,02/01/2020,09/26/2020,United States,Female,5-14 years,10,"1,414",52,1,29,90,
09/30/2020,02/01/2020,09/26/2020,United States,Female,15-24 years,139,"5,789",172,49,26,287,
09/30/2020,02/01/2020,09/26/2020,United States,Female,18-29 years,303,"10,564",408,138,47,617,
